"Page Title:","Home | University of Illinois Urbana-Champaign"
"Page URL:","https://illinois.edu/"
"Date:","2022-08-29"
"Time:","14:17:25"
"Source:","AInspector 2.1.beta1"


"Rule ID","COLOR 1"
"Summary","Text must exceed CCR threshold"
"Definition","Text content must exceed Color Contrast Ratio (CCR) of 3.1 for large and/or bolded text and 4.5 for any other size or style of text."
"WCAG Success Criteria","Success Criterion 1.4.3 Contrast (Minimum) (Primary)"
"Compliance","WCAG Level AA, Required"
"Rule Scope","element"

"Number of results with"
"Violations","3"
"Warnings","0"
"Manual Checks","0"
"Passed","262"
"Hidden","92"

"Element Results"
"element","result","resultValue","position","role","action","name","name source","color contrast ratio","color","color hex","background color","background color hex","font family","font size","font weight","large font","background image","background repeat","background position","href","tabindex","class","onclick","style","target","id","for","rel","aria-label"
"a","P","2","88","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Rankings""""","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","about/rankings.html","-1","","","","","","","",""
"a","P","2","90","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Campus Tours""""","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","about/tours.html","-1","","","","","","","",""
"h3","P","2","93","heading","CCR of 7.8 exceeds 4.5.","Related Links : About","contents","7.8","rgb(68, 77, 86)","#444d56","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","14","600","no","none","repeat","0% 0%","","","submenu-group-header related","","","","","","",""
"a","P","2","97","link","CCR of 7.9 exceeds 4.5.","Calendars","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","resources/calendars.html","","","","","","","","",""
"a","P","2","99","link","CCR of 7.9 exceeds 4.5.","Map","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://map.illinois.edu/view","","","","","","","","",""
"a","P","2","101","link","CCR of 7.9 exceeds 4.5.","Campus Directory","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","https://directory.illinois.edu/search","","","","","","","","",""
"a","P","2","103","link","CCR of 16.1 exceeds 4.5.","Admissions","contents","16.1","rgb(255, 255, 255)","#ffffff","rgb(15, 32, 64)","#0f2040","""ff-meta-serif-web-pro"", Georgia, serif","16","400","no","none","repeat","0% 0%","admissions/index.html","","submenu-trigger","","","","","","",""
"a","P","2","113","link","CCR of 8.6 exceeds 3.1 for large or bolded text.","Undergraduate Admissions","contents","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://admissions.illinois.edu/","-1","","","","","","","",""
"a","P","2","116","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Apply","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://apply.illinois.edu","-1","","","","","","","",""
"a","P","2","118","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Majors","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://admissions.illinois.edu/Discover/Academics/majors","-1","","","","","","","",""
